Team,S,Kills,Errors,Total Attacks,Pct.,Kills_KPS,Per Set_KPS,Assists,Per Set_APS,Block Solos,Block Assists,Per Set_BPS,Opp Kills,Opp Errors,Opp Attacks,Opp Pct,W,L,Pct._WLP
Nebraska,100,1473,379,3075,0.356,1473,14.73,1350,13.5,46,458,2.75,1003,600,3248,0.124,31,0,1
Wisconsin,98,1470,416,3272,0.322,1470,15,1380,14.08,39,417,2.53,1102,520,3330,0.175,26,4,0.867
SMU,116,1611,456,3670,0.315,1611,13.89,1497,12.91,47,511,2.61,1316,640,3770,0.179,26,5,0.839
Texas,100,1485,435,3361,0.312,1485,14.85,1390,13.9,28,365,2.1,1193,523,3408,0.197,24,3,0.889
Western Ky.,108,1573,451,3593,0.312,1573,14.56,1472,13.63,80,356,2.39,1267,596,3644,0.184,27,6,0.818
Pittsburgh,115,1573,466,3565,0.311,1573,13.68,1465,12.74,35,610,2.96,1270,684,3614,0.162,27,4,0.871
Texas A&M,98,1415,445,3242,0.299,1415,14.44,1331,13.58,32,435,2.55,1083,539,3162,0.172,24,4,0.857
Stanford,115,1620,480,3825,0.298,1620,14.09,1532,13.32,31,523,2.54,1297,613,3817,0.179,28,4,0.875
Kentucky,105,1569,459,3785,0.293,1569,14.94,1466,13.96,43,429,2.45,1298,601,3753,0.186,27,2,0.931
American,99,1301,369,3189,0.292,1301,13.14,1213,12.25,55,325,2.2,1057,581,3339,0.143,24,5,0.828
Creighton,111,1559,498,3633,0.292,1559,14.05,1428,12.86,47,398,2.22,1199,564,3595,0.177,27,5,0.844
Tennessee,103,1459,468,3395,0.292,1459,14.17,1353,13.14,43,409,2.4,1221,533,3464,0.199,20,8,0.714
UTEP,101,1383,438,3246,0.291,1383,13.69,1296,12.83,70,368,2.51,1203,610,3320,0.179,25,5,0.833
Purdue,123,1717,533,4067,0.291,1717,13.96,1589,12.92,70,465,2.46,1563,661,4224,0.214,26,6,0.812
Minnesota,113,1446,432,3576,0.284,1446,12.8,1321,11.69,42,513,2.64,1494,624,3864,0.225,23,9,0.719
Indiana,110,1498,500,3523,0.283,1498,13.62,1395,12.68,57,426,2.45,1307,566,3426,0.216,25,7,0.781
Arizona St.,115,1540,499,3700,0.281,1540,13.39,1450,12.61,63,534,2.87,1333,715,3918,0.158,28,3,0.903
Cal Poly,123,1628,490,4088,0.278,1628,13.24,1490,12.11,48,466,2.28,1486,672,4284,0.19,27,7,0.794
Fairfield,111,1506,475,3714,0.278,1506,13.57,1407,12.68,44,457,2.45,1353,622,3917,0.187,25,6,0.806
Princeton,90,1246,384,3115,0.277,1246,13.84,1169,12.99,45,281,2.06,1164,473,3235,0.214,18,7,0.72
Michigan,118,1574,522,3802,0.277,1574,13.34,1444,12.24,55,457,2.4,1440,644,3865,0.206,22,10,0.688
Utah St.,121,1722,609,4067,0.274,1722,14.23,1608,13.29,51,386,2.02,1474,568,3907,0.232,24,8,0.75
UTRGV,105,1419,441,3591,0.272,1419,13.51,1319,12.56,58,342,2.18,1250,564,3669,0.187,22,8,0.733
Hofstra,98,1398,476,3423,0.269,1398,14.27,1311,13.38,43,459,2.78,1018,567,3372,0.134,22,4,0.846
San Diego,122,1557,514,3883,0.269,1557,12.76,1455,11.93,63,475,2.46,1395,682,4074,0.175,25,5,0.833
BYU,119,1656,601,3948,0.267,1656,13.92,1539,12.93,57,399,2.16,1430,615,3830,0.213,22,9,0.71
Louisville,115,1566,496,4015,0.267,1566,13.62,1435,12.48,81,561,3.14,1399,704,4210,0.165,25,6,0.806
Tulsa,114,1610,521,4121,0.264,1610,14.12,1505,13.2,63,360,2.13,1401,604,4160,0.192,25,7,0.781
Colorado St.,115,1558,540,3867,0.263,1558,13.55,1443,12.55,44,549,2.77,1404,678,3930,0.185,21,9,0.7
Oklahoma,106,1414,542,3335,0.261,1414,13.34,1340,12.64,48,421,2.44,1254,493,3106,0.245,16,11,0.593
Southern California,117,1602,543,4088,0.259,1602,13.69,1493,12.76,53,539,2.76,1374,649,3937,0.184,25,7,0.781
Ball St.,121,1651,568,4199,0.258,1651,13.64,1533,12.67,61,329,1.86,1576,569,4157,0.242,21,10,0.677
Yale,92,1221,408,3161,0.257,1221,13.27,1112,12.09,59,256,2.03,1145,474,3174,0.211,15,9,0.625
James Madison,126,1695,614,4238,0.255,1695,13.45,1594,12.65,63,525,2.58,1624,679,4312,0.219,22,9,0.71
Dayton,106,1379,465,3585,0.255,1379,13.01,1275,12.03,28,445,2.36,1299,642,3791,0.173,23,7,0.767
Cincinnati,107,1364,430,3681,0.254,1364,12.75,1252,11.7,65,391,2.43,1520,604,3965,0.231,15,13,0.536
Jacksonville,110,1445,504,3710,0.254,1445,13.14,1361,12.37,34,404,2.15,1373,585,3737,0.211,22,8,0.733
UC Santa Barbara,124,1694,634,4186,0.253,1694,13.66,1582,12.76,114,433,2.67,1451,709,4188,0.177,23,9,0.719
Penn St.,118,1603,593,3991,0.253,1603,13.58,1492,12.64,35,429,2.11,1428,543,3797,0.233,19,12,0.613
Eastern Ky.,117,1573,556,4021,0.253,1573,13.44,1483,12.68,53,374,2.05,1398,638,4015,0.189,22,9,0.71
FGCU,117,1604,568,4102,0.253,1604,13.71,1499,12.81,51,397,2.13,1512,578,4134,0.226,19,9,0.679
Belmont,107,1355,456,3566,0.252,1355,12.66,1276,11.93,36,357,2,1336,563,3680,0.21,17,11,0.607
UNI,112,1641,578,4217,0.252,1641,14.65,1527,13.63,37,437,2.28,1292,639,4038,0.162,26,6,0.812
Villanova,107,1449,524,3673,0.252,1449,13.54,1369,12.79,37,393,2.18,1286,552,3616,0.203,20,8,0.714
Oregon,116,1522,594,3688,0.252,1522,13.12,1405,12.11,46,426,2.23,1373,558,3525,0.231,17,13,0.567
Sacramento St.,113,1460,510,3777,0.252,1460,12.92,1302,11.52,60,360,2.12,1300,570,3726,0.196,20,10,0.667
Liberty,118,1546,532,4036,0.251,1546,13.1,1418,12.02,55,354,1.97,1489,591,3964,0.227,20,10,0.667
Marquette,103,1353,477,3488,0.251,1353,13.14,1222,11.86,67,342,2.31,1253,562,3444,0.201,18,10,0.643
Cornell,93,1241,443,3180,0.251,1241,13.34,1137,12.23,56,294,2.18,1100,466,3149,0.201,15,10,0.6
Southeastern La.,101,1376,489,3535,0.251,1376,13.62,1259,12.47,53,376,2.39,1237,564,3561,0.189,20,9,0.69
UConn,105,1362,511,3393,0.251,1362,12.97,1202,11.45,81,258,2,1230,504,3347,0.217,19,9,0.679
LIU,104,1376,523,3405,0.251,1376,13.23,1237,11.89,43,286,1.79,1169,520,3375,0.192,20,9,0.69
Miami (FL),128,1676,672,4019,0.25,1676,13.09,1531,11.96,44,499,2.29,1319,642,3806,0.178,27,6,0.818
Morehead St.,107,1473,494,3921,0.25,1473,13.77,1364,12.75,75,321,2.2,1269,563,3773,0.187,23,9,0.719
A&M-Corpus Christi,111,1486,513,3901,0.249,1486,13.39,1362,12.27,54,172,1.26,1398,474,3797,0.243,13,17,0.433
Colgate,111,1365,461,3625,0.249,1365,12.3,1286,11.59,66,444,2.59,1348,641,3927,0.18,18,10,0.643
Lipscomb,97,1342,525,3285,0.249,1342,13.84,1262,13.01,38,238,1.62,1080,421,2934,0.225,14,13,0.519
SFA,111,1526,538,3976,0.248,1526,13.75,1429,12.87,41,450,2.4,1310,621,3961,0.174,23,8,0.742
North Carolina,117,1538,577,3868,0.248,1538,13.15,1425,12.18,35,614,2.92,1401,707,4035,0.172,22,9,0.71
Kennesaw St.,105,1432,552,3544,0.248,1432,13.64,1324,12.61,26,393,2.12,1196,518,3328,0.204,19,9,0.679
Campbell,113,1482,539,3799,0.248,1482,13.12,1356,12,46,354,1.97,1264,563,3715,0.189,23,7,0.767
Auburn,102,1302,442,3468,0.248,1302,12.76,1215,11.91,28,497,2.71,1360,600,3663,0.207,17,11,0.607
Xavier,114,1519,542,3943,0.248,1519,13.32,1362,11.95,73,385,2.33,1396,649,4066,0.184,26,5,0.839
Arkansas St.,119,1545,546,4034,0.248,1545,12.98,1425,11.97,88,494,2.82,1370,767,4150,0.145,22,9,0.71
Youngstown St.,119,1555,507,4241,0.247,1555,13.07,1453,12.21,48,340,1.83,1611,647,4449,0.217,17,14,0.548
FIU,117,1581,583,4045,0.247,1581,13.51,1452,12.41,52,345,1.92,1373,576,3915,0.204,20,12,0.625
Denver,107,1382,544,3399,0.247,1382,12.92,1310,12.24,28,346,1.88,1289,584,3392,0.208,17,11,0.607
Iowa St.,115,1617,612,4077,0.247,1617,14.06,1493,12.98,44,323,1.79,1379,560,3979,0.206,23,7,0.767
